comment_id,comment_text,normalized_text,artist,video_id,engagement_level,has_emoji,has_caps,has_exclamation,word_count,compound_stock,pos,neg,neu,sentiment_stock,variant,sentiment_enhanced,compound_enhanced,improvement_type
UgxZAV9t09ftdFXpoF94AaABAg,"My girls are eating and leaving NO crumbs for the haters.
As successful as y'all are, considering how talented and how much of a fire bangger all the music is, y'all are SERIOUSLY underrated ❤️","My girls are eating and leaving NO crumbs for the haters.
As successful as y'all are, considering how talented and how much of a fire bangger all the music is, y'all are SERIOUSLY underrated ❤️",Flyana Boss,lM8oYQCqOqk,high_engagement,False,True,False,35,-0.434,0.148,0.228,0.624,negative,enhanced_minimal,positive,0.4997,negative → positive
UgwIM50BX6rDExOJzCN4AaABAg,"Fire drop, from favourite artist","Fire drop, from favourite artist",re6ce,lyucNWtLwMM,high_engagement,False,False,False,5,-0.5423,0.0,0.6,0.4,negative,enhanced_minimal,positive,0.3818,negative → positive
UgxCfvA-FBd8P4pi3Pp4AaABAg,Everything these ladies drop be fire.🙏,Everything these ladies drop be fire.🙏,Flyana Boss,zuw4fXFYiWk,high_engagement,True,False,False,6,-0.5423,0.0,0.429,0.571,negative,enhanced_minimal,positive,0.3818,negative → positive
UgzlZKOf-IB4Ikk8q5p4AaABAg,This a prime example of why I support everything 1017 💯🔥🔥🔥,This a prime example of why I support everything 1017 💯🔥🔥🔥,BiC Fizzle,pSPryuOsTdc,high_engagement,False,False,False,11,-0.5423,0.129,0.344,0.526,negative,enhanced_minimal,positive,0.93,negative → positive
Ugx-RYsYMkkmi-Tt6YZ4AaABAg,I’m begging for a longer version. This song SLAPS,I’m begging for a longer version. This song SLAPS,Flyana Boss,cdOYQPESf2U,high_engagement,False,True,False,9,0.0,0.0,0.0,1.0,neutral,enhanced_minimal,positive,0.6523,neutral → positive
UgxnMOa6dqw5RSZ8t9l4AaABAg,"Oh yeah, this is 🔥","Oh yeah, this is 🔥",Flyana Boss,GfKKbtp078U,high_engagement,False,False,False,5,-0.0516,0.289,0.316,0.395,negative,enhanced_minimal,positive,0.7096,negative → positive
Ugz2H4toQ5OU9q0G7Xl4AaABAg,Blytheville Is UP🔥🔥🔥🔥💪🏿💪🏿💪🏿💪🏿!!!!,Blytheville Is UP🔥🔥🔥🔥💪🏿💪🏿💪🏿💪🏿!!!!,BiC Fizzle,mh7QcuggbmA,high_engagement,False,False,True,3,-0.8679,0.0,0.319,0.681,negative,enhanced_minimal,positive,0.9514,negative → positive
Ugzg-bk86fjTtK-LoIF4AaABAg,Now this a hella banger,Now this a hella banger,Flyana Boss,sEv2faib5p4,high_engagement,False,False,False,5,0.0,0.0,0.0,1.0,neutral,enhanced_minimal,positive,0.6115,neutral → positive
UgwzD9KKJraPmdwRRot4AaABAg,They dope as a mf.....Letssss go🔥🔥🔥🔥🔥They are very unique they not looking like everyone else...They got there own style they got something with this...They are mf superstars in the mf making....,They dope as a mf.....Letssss go🔥🔥🔥🔥🔥They are very unique they not looking like everyone else...They got there own style they got something with this...They are mf superstars in the mf making....,Flyana Boss,jPrF8zVf4eg,high_engagement,False,False,False,31,-0.8661,0.0,0.274,0.726,negative,enhanced_minimal,positive,0.9286,negative → positive
UgxofOYfMhRRAOwyrph4AaABAg,"""FIRE OBSSESION"" você me paga por me viciar nessa obra prima","""FIRE OBSSESION"" você me paga por me viciar nessa obra prima",Raiche,2gGD4sIONoo,high_engagement,False,True,False,11,-0.4824,0.0,0.239,0.761,negative,enhanced_minimal,positive,0.6633,negative → positive
