video_id,title,song_title,artist_name,video_type,isrc,has_isrc,published_at,view_count,like_count,comment_count,est_revenue_usd,like_rate,comment_rate,engagement_rate,days_since_publish,views_per_day,metrics_date,fetched_at
yaNak3VgCXQ,BiC Fizzle - Servin [Official Music Video],Servin,BiC Fizzle,Official Music Video,,False,2021-12-17 05:00:33,14978623,132146,1189,37446.557499999995,0.88223062961128,0.007937979345631438,0.8901686089569114,1512,9906.496693121693,2026-02-07,2026-02-07 04:45:04
RZSQtCm8dyo,BiC Fizzle - CREEPIN [Official Music Video],CREEPIN,BiC Fizzle,Official Music Video,,False,2025-06-27 19:00:33,6427360,72355,835,16068.4,1.1257343606083992,0.012991337034178884,1.1387256976425781,224,28693.571428571428,2026-02-07,2026-02-07 04:44:53
9aw1YXo1QQA,BiC Fizzle - Turnt Sh*t [Official Music Video],Turnt Sh*t,BiC Fizzle,Official Music Video,,False,2022-03-25 19:00:03,4803703,61180,678,12009.257500000002,1.2736008033802255,0.014114111551026364,1.287714914931252,1414,3397.2439886845827,2026-02-07,2026-02-07 04:45:04
vfmrQGToT28,BiC Fizzle - Dope Fein [Official Video],Dope Fein,BiC Fizzle,Official Music Video,,False,2022-01-07 20:00:29,4529315,50389,611,11323.287499999999,1.1125081828046846,0.013489898582898298,1.125998081387583,1491,3037.7699530516434,2026-02-07,2026-02-07 04:45:04
5Tp8bJ59-S0,BiC Fizzle - Changes [Official Music Video],Changes,BiC Fizzle,Official Music Video,,False,2022-02-18 05:00:02,3362751,44462,539,8406.8775,1.3221912654252426,0.01602854329684238,1.338219808722085,1449,2320.7391304347825,2026-02-07,2026-02-07 04:45:04
pSGAFzbVlXo,BiC Fizzle - Clark Street Baby (feat. Big Scarr) [Official Audio],Clark Street Baby (feat. Big Scarr),BiC Fizzle,Official Audio,,False,2021-10-18 04:00:16,3117528,34654,463,7793.82,1.11158584622175,0.014851510555799339,1.1264373567775494,1572,1983.1603053435115,2026-02-07,2026-02-07 04:45:04
HgAvVd6ABtA,BiC Fizzle - Blow the Deposit (feat. Gucci Mane) [Official Music Video],Blow the Deposit (feat. Gucci Mane),BiC Fizzle,Official Music Video,,False,2022-06-17 04:00:09,1761040,36837,604,4402.6,2.091775314586835,0.03429791486848681,2.1260732294553217,1330,1324.0902255639098,2026-02-07,2026-02-07 04:45:04
oLBF5JM-P3c,BiC Fizzle - Rich Criminals (feat. Cootie & Big 30) [Official Music Video],Rich Criminals (feat. Cootie & Big 30),BiC Fizzle,Official Music Video,,False,2021-10-18 04:00:13,1264425,23572,693,3161.0625,1.8642465943017577,0.054807521205290935,1.9190541155070486,1572,804.3416030534352,2026-02-07,2026-02-07 04:45:04
xBGUJ67fdA0,BiC Fizzle - So Icy Fizzle (feat. Cootie) [Official Music Video],So Icy Fizzle (feat. Cootie),BiC Fizzle,Official Music Video,,False,2021-11-30 20:00:30,1135306,18788,429,2838.2650000000003,1.6548842338541327,0.03778716927418687,1.6926714031283197,1529,742.5153695225638,2026-02-07,2026-02-07 04:45:04
Sa_hh4cuS2o,BiC Fizzle x Gwapo - We Got It [Official Video],x Gwapo - We Got It,BiC Fizzle,Official Music Video,,False,2022-09-01 19:00:16,893342,21234,232,2233.355,2.376917238862608,0.025969897306966423,2.4028871361695745,1254,712.3939393939394,2026-02-07,2026-02-07 04:45:04
DaFrOHJkCDg,#ThrowBackThursday 1017 4 A Reason🏆 “BLOW THE DEPOSIT” w/ Gucci Mane,#ThrowBackThursday 1017 4 A Reason🏆 “BLOW THE DEPOSIT” w/ Gucci Mane,BiC Fizzle,Music Content,,False,2022-08-04 15:00:10,871753,38549,763,2179.3825,4.422009445336006,0.08752479199956868,4.509534237335575,1282,679.9945397815912,2026-02-07,2026-02-07 04:45:04
NESZwtElTWU,BiC Fizzle - Older Times [Official Music Video],Older Times,BiC Fizzle,Official Music Video,,False,2024-03-20 22:00:07,752423,11000,201,1881.0575,1.4619436141638413,0.0267136969497211,1.4886573111135624,688,1093.6380813953488,2026-02-07,2026-02-07 04:44:53
kdrNxgwMPds,BiC Fizzle - Check (feat. Big Yavo) [Official Music Video],Check (feat. Big Yavo),BiC Fizzle,Official Music Video,,False,2023-01-06 05:00:09,694188,15095,281,1735.47,2.1744829930796845,0.04047894806594179,2.2149619411456265,1127,615.960958296362,2026-02-07,2026-02-07 04:45:04
Mh0M0-jcgDI,BiC Fizzle - Cruise Control [Official Music Video],Cruise Control,BiC Fizzle,Official Music Video,,False,2023-08-09 16:00:08,620735,11660,191,1551.8375,1.8784183266611358,0.030769974304654966,1.9091883009657908,912,680.6304824561404,2026-02-07,2026-02-07 04:44:53
uA22ODmD-Ws,BiC Fizzle - B.A.N. [Official Music Video],B.A.N.,BiC Fizzle,Official Music Video,,False,2022-08-24 04:00:10,599712,13556,283,1499.28,2.260418334133717,0.047189317539085424,2.307607651672803,1262,475.20760697305866,2026-02-07,2026-02-07 04:45:04
MlLx_pzaxfY,BiC Fizzle - Sno Cone (feat. Quavo & Gucci Mane [Official Audio],Sno Cone (feat. Quavo & Gucci Mane,BiC Fizzle,Official Audio,,False,2021-10-15 04:00:13,573941,12394,250,1434.8525,2.159455414406707,0.04355848423444222,2.2030138986411494,1575,364.4069841269841,2026-02-07,2026-02-07 04:45:04
qWkmQW0WdaM,BiC Fizzle - Mr. Bigg (feat. BIG30 & Cootie) [Official Video],Mr. Bigg (feat. BIG30 & Cootie),BiC Fizzle,Official Music Video,,False,2023-08-03 19:00:19,549171,14540,250,1372.9275000000002,2.647627059695432,0.04552316127399298,2.693150220969425,918,598.2254901960785,2026-02-07,2026-02-07 04:44:53
Y_UsTB_Uxug,BiC Fizzle - Last Nite [Official Music Video],Last Nite,BiC Fizzle,Official Music Video,,False,2024-07-17 22:00:14,523881,9106,193,1309.7024999999999,1.738180999120029,0.036840427501665454,1.7750214266216944,569,920.7047451669596,2026-02-07,2026-02-07 04:44:53
oMHkTpOTBKI,BiC Fizzle - Never A Dream (Freestyle),Never A Dream (Freestyle),BiC Fizzle,Music Content,,False,2021-08-25 22:13:33,493625,15623,473,1234.0625,3.164953152696885,0.0958217270194986,3.260774879716384,1626,303.58241082410825,2026-02-07,2026-02-07 04:45:04
z3W40yc09P0,BiC Fizzle - Turnt Sh*t [Official Audio],Turnt Sh*t,BiC Fizzle,Official Audio,,False,2022-03-24 04:00:16,446680,6694,167,1116.7,1.4986119817318886,0.03738694367332319,1.5359989254052118,1415,315.6749116607774,2026-02-07,2026-02-07 04:45:04
IEvpLvHKEz0,BiC Fizzle - Mo Money [Official Audio],Mo Money,BiC Fizzle,Official Audio,,False,2021-10-15 04:00:06,432717,7539,164,1081.7925,1.7422472424240325,0.037900059392166244,1.7801473018161988,1575,274.74095238095236,2026-02-07,2026-02-07 04:45:04
uIzeP71NPwQ,BiC Fizzle - Chief [Official Music Video],Chief,BiC Fizzle,Official Music Video,,False,2022-10-17 16:00:08,410076,10209,195,1025.19,2.4895385245661776,0.04755216106282738,2.537090685629005,1208,339.4668874172185,2026-02-07,2026-02-07 04:45:04
sMVtI3BBpAM,BiC Fizzle - Knowing (feat. BigWalkDog) [Official Music Video],Knowing (feat. BigWalkDog),BiC Fizzle,Official Music Video,,False,2023-08-24 16:00:41,405733,9510,224,1014.3325,2.3439059677176863,0.05520872100617894,2.3991146887238655,897,452.3221850613155,2026-02-07,2026-02-07 04:44:53
5Y8f7FpAF2Y,BiC Fizzle - Legend (feat. Cootie & 1KJizzle) [Official Audio],Legend (feat. Cootie & 1KJizzle),BiC Fizzle,Official Audio,,False,2023-01-27 05:00:05,367091,6193,90,917.7275,1.6870476257930596,0.024517081595571668,1.7115647073886313,1106,331.90867992766727,2026-02-07,2026-02-07 04:45:04
pSPryuOsTdc,BiC Fizzle - Ndrangheta (feat. Sett) [Official Music Video],Ndrangheta (feat. Sett),BiC Fizzle,Official Music Video,,False,2023-11-02 04:00:09,347460,6531,152,868.65,1.8796408219651184,0.04374604270995222,1.9233868646750707,827,420.14510278113664,2026-02-07,2026-02-07 04:44:53
MUoVKRW8hNs,BiC Fizzle - Where U From [Official Music Video],Where U From,BiC Fizzle,Official Music Video,,False,2023-01-27 05:17:55,338251,9043,232,845.6274999999999,2.673458467232913,0.0685881194734088,2.7420465867063215,1106,305.8327305605787,2026-02-07,2026-02-07 04:44:53
XxIuSr7ZkDQ,BiC Fizzle - Reminded Myself (feat. KATO2X) [Official Music Video],Reminded Myself (feat. KATO2X),BiC Fizzle,Official Music Video,,False,2023-02-02 23:00:18,302442,6278,124,756.105,2.075769899683245,0.040999596616872,2.116769496300117,1100,274.9472727272727,2026-02-07,2026-02-07 04:44:53
