video_id,title,artist_name,video_type,has_isrc,published_at,metrics_date,year,month,week,day_of_week,days_since_publish,view_count,like_count,comment_count,est_revenue_usd,like_rate,comment_rate,engagement_rate,views_per_day,views_growth_rate,revenue_growth_rate,fetched_at
-9D2Sa43MZE,My single FOOL is out nowww! #rnb #newmusicfriday #newmusic,Raiche,Music Content,False,2022-07-23 13:00:00,2025-09-15,2025,9,38,Monday,1150,1120,101,3,2.8000000000000003,9.017857142857142,0.26785714285714285,9.285714285714285,0.9739130434782609,0.0,0.0,2025-09-15 06:33:13
-Ah8t-PyZLk,You guys fucking rock. Thanks for getting your kazoos warmed up before the show!,Corook,Music Content,False,2023-09-26 16:55:13,2025-09-15,2025,9,38,Monday,720,447,43,3,1.1175,9.619686800894854,0.6711409395973155,10.290827740492169,0.6208333333333333,0.0,0.0,2025-09-15 06:33:55
-Ia1XnE3ykI,C*NTY GANG,Flyana Boss,Music Content,False,2025-07-12 22:00:53,2025-09-12,2025,9,37,Friday,62,14691,1391,23,36.7275,9.468382002586617,0.15655843713838405,9.624940439725002,236.9516129032258,0.0,0.0,2025-09-12 08:06:09
-Ia1XnE3ykI,C*NTY GANG,Flyana Boss,Music Content,False,2025-07-12 22:00:53,2025-09-14,2025,9,37,Sunday,64,14871,1403,23,37.1775,9.43446977338444,0.15466343890794162,9.589133212292381,232.359375,1.225239942822136,1.2252399428221439,2025-09-14 03:26:22
-IlC0tEU_Oc,IK I don’t owe an explanation or anything nor do I intend on being a quantity over quality person.,Corook,Music Content,False,2025-08-25 15:13:40,2025-09-15,2025,9,38,Monday,21,6621,272,12,16.552500000000002,4.10814076423501,0.18124150430448574,4.289382268539496,315.2857142857143,0.0,0.0,2025-09-15 06:33:34
-NH7FBF755g,I GOT BLENDED UP AND NOW IM SMOOOOOOTHIE !!!!! #newmusic,Corook,Music Content,False,2022-06-17 22:43:12,2025-09-15,2025,9,38,Monday,1186,5234,562,14,13.085,10.737485670615209,0.26748184944593045,11.00496752006114,4.413153456998313,0.0,0.0,2025-09-15 06:34:25
-Pr88v9zlxI,Wait is this one for the C*NTs,Flyana Boss,Music Content,False,2025-06-14 18:47:18,2025-09-12,2025,9,37,Friday,90,18052,1300,25,45.129999999999995,7.201418125415467,0.13848881010414357,7.33990693551961,200.57777777777778,0.0,0.0,2025-09-12 08:06:09
-Pr88v9zlxI,Wait is this one for the C*NTs,Flyana Boss,Music Content,False,2025-06-14 18:47:18,2025-09-14,2025,9,37,Sunday,92,18107,1301,25,45.2675,7.185066548848512,0.1380681504390567,7.323134699287569,196.81521739130434,0.3046753822291159,0.3046753822291222,2025-09-14 03:26:22
-Q1-Ay4MB3o,"""if i were a fish"" drops tonight at midnight EST and I'm going LIVE!!",Corook,Live Performance,False,2023-04-20 23:54:06,2025-09-15,2025,9,38,Monday,879,13036,530,11,32.589999999999996,4.065664314206812,0.08438171218165082,4.150046026388463,14.830489192263936,0.0,0.0,2025-09-15 06:34:10
-XVuwmu0usI,Raiche - Girls A Gun [Official Visualizer],Raiche,Visualizer,False,2025-03-14 04:00:00,2025-09-15,2025,9,38,Monday,185,8548,391,36,21.37,4.574169396350023,0.42115114646700985,4.9953205428170335,46.20540540540541,0.0,0.0,2025-09-15 06:33:04
